,,,,,,,,,,,,,
,1,,,Site,,,,,Date,,,Time,
,,,,"Ada Ciganlija, Belgrade, Serbia",,,,,"June 11, 2022",,,12:00,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,24,min,,,,Suit,,Wetsuit,,
,Max. depth,,,9.5,m,,,,,,?,mm,
,Avg. depth,,,?,m,,,,Weights,,?,kg,
,Tank pressure start,,,200,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,?,bar,,,,,,12,litres,
,Decompression dive,,,No,,,,,Computer,,No,,
,Gas,,,Air,,,,,Deco. alg. P-fact.,,,,
,O2,,,21,%,,,,,,,,
,CNS,,,?,%,,,,Weather conditions,,,,
,Altitude,,,74,m,,,,Weather,,Sunny,,
,Shore / vehicle,,,Shore,,,,,Air temperature,,?,°C,
,,,,,,,,,,,,,
,Operator,,,,,,,,Water conditions,,,,
,SDT Svet Ronjenja,,,,,,,,,,Fresh water,,
,,,,,,,,,Min. temperature,,16,°C,
,,,,,,,,,Visibility,,Good,,
,,,,,,,,,Drift,,No,,
,Notes,,,,,,,,,,,,
,CMAS OWD - 1,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2,,,Site,,,,,Date,,,Time,
,,,,"Ada Ciganlija, Belgrade, Serbia",,,,,"June 11, 2022",,,12:30,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,22,min,,,,Suit,,Wetsuit,,
,Max. depth,,,5.8,m,,,,,,?,mm,
,Avg. depth,,,?,m,,,,Weights,,?,kg,
,Tank pressure start,,,?,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,?,bar,,,,,,12,litres,
,Decompression dive,,,No,,,,,Computer,,No,,
,Gas,,,Air,,,,,Deco. alg. P-fact.,,,,
,O2,,,21,%,,,,,,,,
,CNS,,,?,%,,,,Weather conditions,,,,
,Altitude,,,74,m,,,,Weather,,Sunny,,
,Shore / vehicle,,,Shore,,,,,Air temperature,,?,°C,
,,,,,,,,,,,,,
,Operator,,,,,,,,Water conditions,,,,
,SDT Svet Ronjenja,,,,,,,,,,Fresh water,,
,,,,,,,,,Min. temperature,,24,°C,
,,,,,,,,,Visibility,,Good,,
,,,,,,,,,Drift,,No,,
,Notes,,,,,,,,,,,,
,CMAS OWD - 2,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,3,,,Site,,,,,Date,,,Time,
,,,,"Ada Ciganlija, Belgrade, Serbia",,,,,"June 18, 2022",,,12:00,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,25,min,,,,Suit,,Wetsuit,,
,Max. depth,,,8.2,m,,,,,,?,mm,
,Avg. depth,,,?,m,,,,Weights,,?,kg,
,Tank pressure start,,,200,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,?,bar,,,,,,12,litres,
,Decompression dive,,,No,,,,,Computer,,No,,
,Gas,,,Air,,,,,Deco. alg. P-fact.,,,,
,O2,,,21,%,,,,,,,,
,CNS,,,?,%,,,,Weather conditions,,,,
,Altitude,,,74,m,,,,Weather,,Sunny,,
,Shore / vehicle,,,Shore,,,,,Air temperature,,?,°C,
,,,,,,,,,,,,,
,Operator,,,,,,,,Water conditions,,,,
,SDT Svet Ronjenja,,,,,,,,,,Fresh water,,
,,,,,,,,,Min. temperature,,?,°C,
,,,,,,,,,Visibility,,Good,,
,,,,,,,,,Drift,,No,,
,Notes,,,,,,,,,,,,
,CMAS OWD - 3,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,4,,,Site,,,,,Date,,,Time,
,,,,"Ada Ciganlija, Belgrade, Serbia",,,,,"June 18, 2022",,,12:30,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,25,min,,,,Suit,,Wetsuit,,
,Max. depth,,,8.2,m,,,,,,?,mm,
,Avg. depth,,,?,m,,,,Weights,,?,kg,
,Tank pressure start,,,?,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,?,bar,,,,,,12,litres,
,Decompression dive,,,No,,,,,Computer,,No,,
,Gas,,,Air,,,,,Deco. alg. P-fact.,,,,
,O2,,,21,%,,,,,,,,
,CNS,,,?,%,,,,Weather conditions,,,,
,Altitude,,,74,m,,,,Weather,,Sunny,,
,Shore / vehicle,,,Shore,,,,,Air temperature,,?,°C,
,,,,,,,,,,,,,
,Operator,,,,,,,,Water conditions,,,,
,SDT Svet Ronjenja,,,,,,,,,,Fresh water,,
,,,,,,,,,Min. temperature,,?,°C,
,,,,,,,,,Visibility,,Good,,
,,,,,,,,,Drift,,No,,
,Notes,,,,,,,,,,,,
,CMAS OWD - 4,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,5,,,Site,,,,,Date,,,Time,
,,,,"Ponta Jaz, Jaz, Montenegro",,,,,"August 22, 2022",,,9:30,
,,,,,,,,,,,,,
,Dive,,,,,,,,Equipment,,,,
,Duration,,,35,min,,,,Suit,,Wetsuit,,
,Max. depth,,,23.4,m,,,,,,?,mm,
,Avg. depth,,,?,m,,,,Weights,,?,kg,
,Tank pressure start,,,200,bar,,,,Tank,,Aluminium,,
,Tank pressure end,,,50,bar,,,,,,12,litres,
